|eventname                                                                                           |lastn                                                                                               |firstn                                                                                              |country                                                                                             |gender                                                                                              |medal                                                                                               |
|4X100M Freestyle Relay                                                                              |de bruijn                                                                                           |inge                                                                                                |NED                                                                                                 |Women                                                                                               |Bronze                                                                                              |
|4X100M Freestyle Relay                                                                              |dekker                                                                                              |inge                                                                                                |NED                                                                                                 |Women                                                                                               |Bronze                                                                                              |
|4X100M Freestyle Relay                                                                              |groot                                                                                               |chantal                                                                                             |NED                                                                                                 |Women                                                                                               |Bronze                                                                                              |
|4X100M Freestyle Relay                                                                              |kosten                                                                                              |annabel                                                                                             |NED                                                                                                 |Women                                                                                               |Bronze                                                                                              |
|4X100M Freestyle Relay                                                                              |veldhuis                                                                                            |marleen                                                                                             |NED                                                                                                 |Women                                                                                               |Bronze                                                                                              |
|4X100M Freestyle Relay                                                                              |henry                                                                                               |jodie                                                                                               |AUS                                                                                                 |Women                                                                                               |Gold                                                                                                |
|4X100M Freestyle Relay                                                                              |mills                                                                                               |alice                                                                                               |AUS                                                                                                 |Women                                                                                               |Gold                                                                                                |
|4X100M Freestyle Relay                                                                              |ryan                                                                                                |sarah                                                                                               |AUS                                                                                                 |Women                                                                                               |Gold                                                                                                |
|4X100M Freestyle Relay                                                                              |thomas                                                                                              |petria                                                                                              |AUS                                                                                                 |Women                                                                                               |Gold                                                                                                |
|4X100M Freestyle Relay                                                                              |trickett                                                                                            |lisbeth                                                                                             |AUS                                                                                                 |Women                                                                                               |Gold                                                                                                |
|4X100M Freestyle Relay                                                                              |benko                                                                                               |lindsay                                                                                             |USA                                                                                                 |Women                                                                                               |Silver                                                                                              |
|4X100M Freestyle Relay                                                                              |correia                                                                                             |maritza                                                                                             |USA                                                                                                 |Women                                                                                               |Silver                                                                                              |
|4X100M Freestyle Relay                                                                              |coughlin                                                                                            |natalie                                                                                             |USA                                                                                                 |Women                                                                                               |Silver                                                                                              |
|4X100M Freestyle Relay                                                                              |joyce                                                                                               |kara lynn                                                                                           |USA                                                                                                 |Women                                                                                               |Silver                                                                                              |
|4X100M Freestyle Relay                                                                              |lanne                                                                                               |colleen                                                                                             |USA                                                                                                 |Women                                                                                               |Silver                                                                                              |
|4X100M Freestyle Relay                                                                              |thompson                                                                                            |jenny                                                                                               |USA                                                                                                 |Women                                                                                               |Silver                                                                                              |
|4X100M Freestyle Relay                                                                              |weir                                                                                                |amanda                                                                                              |USA                                                                                                 |Women                                                                                               |Silver                                                                                              |
|4X100M Medley Relay                                                                                 |kitajima                                                                                            |kosuke                                                                                              |JPN                                                                                                 |Men                                                                                                 |Bronze                                                                                              |
|4X100M Medley Relay                                                                                 |morita                                                                                              |tomomi                                                                                              |JPN                                                                                                 |Men                                                                                                 |Bronze                                                                                              |
|4X100M Medley Relay                                                                                 |okumura                                                                                             |yoshihiro                                                                                           |JPN                                                                                                 |Men                                                                                                 |Bronze                                                                                              |
|4X100M Medley Relay                                                                                 |yamamoto                                                                                            |takashi                                                                                             |JPN                                                                                                 |Men                                                                                                 |Bronze                                                                                              |
|4X100M Medley Relay                                                                                 |crocker                                                                                             |ian                                                                                                 |USA                                                                                                 |Men                                                                                                 |Gold                                                                                                |
|4X100M Medley Relay                                                                                 |gangloff                                                                                            |mark                                                                                                |USA                                                                                                 |Men                                                                                                 |Gold                                                                                                |
|4X100M Medley Relay                                                                                 |hansen                                                                                              |brendan                                                                                             |USA                                                                                                 |Men                                                                                                 |Gold                                                                                                |
|4X100M Medley Relay                                                                                 |krayzelburg                                                                                         |lenny                                                                                               |USA                                                                                                 |Men                                                                                                 |Gold                                                                                                |
|4X100M Medley Relay                                                                                 |lezak                                                                                               |jason                                                                                               |USA                                                                                                 |Men                                                                                                 |Gold                                                                                                |
|4X100M Medley Relay                                                                                 |peirsol                                                                                             |aaron                                                                                               |USA                                                                                                 |Men                                                                                                 |Gold                                                                                                |
|4X100M Medley Relay                                                                                 |phelps                                                                                              |michael                                                                                             |USA                                                                                                 |Men                                                                                                 |Gold                                                                                                |
|4X100M Medley Relay                                                                                 |walker                                                                                              |neil                                                                                                |USA                                                                                                 |Men                                                                                                 |Gold                                                                                                |
|4X100M Medley Relay                                                                                 |conrad                                                                                              |lars                                                                                                |GER                                                                                                 |Men                                                                                                 |Silver                                                                                              |
|4X100M Medley Relay                                                                                 |driesen                                                                                             |steffen                                                                                             |GER                                                                                                 |Men                                                                                                 |Silver                                                                                              |
|4X100M Medley Relay                                                                                 |kruppa                                                                                              |jens                                                                                                |GER                                                                                                 |Men                                                                                                 |Silver                                                                                              |
|4X100M Medley Relay                                                                                 |meeuw                                                                                               |helge                                                                                               |GER                                                                                                 |Men                                                                                                 |Silver                                                                                              |
|4X100M Medley Relay                                                                                 |rupprath                                                                                            |thomas                                                                                              |GER                                                                                                 |Men                                                                                                 |Silver                                                                                              |
|4X100M Medley Relay                                                                                 |buschschulte                                                                                        |antje                                                                                               |GER                                                                                                 |Women                                                                                               |Bronze                                                                                              |
|4X100M Medley Relay                                                                                 |gotz                                                                                                |daniela                                                                                             |GER                                                                                                 |Women                                                                                               |Bronze                                                                                              |
|4X100M Medley Relay                                                                                 |poewe                                                                                               |sarah                                                                                               |GER                                                                                                 |Women                                                                                               |Bronze                                                                                              |
|4X100M Medley Relay                                                                                 |van almsick                                                                                         |franziska                                                                                           |GER                                                                                                 |Women                                                                                               |Bronze                                                                                              |
|4X100M Medley Relay                                                                                 |hanson                                                                                              |brooke                                                                                              |AUS                                                                                                 |Women                                                                                               |Gold                                                                                                |
|4X100M Medley Relay                                                                                 |henry                                                                                               |jodie                                                                                               |AUS                                                                                                 |Women                                                                                               |Gold                                                                                                |
|4X100M Medley Relay                                                                                 |jones                                                                                               |leisel                                                                                              |AUS                                                                                                 |Women                                                                                               |Gold                                                                                                |
|4X100M Medley Relay                                                                                 |mills                                                                                               |alice                                                                                               |AUS                                                                                                 |Women                                                                                               |Gold                                                                                                |
|4X100M Medley Relay                                                                                 |rooney                                                                                              |giaan                                                                                               |AUS                                                                                                 |Women                                                                                               |Gold                                                                                                |
|4X100M Medley Relay                                                                                 |schipper                                                                                            |jess                                                                                                |AUS                                                                                                 |Women                                                                                               |Gold                                                                                                |
|4X100M Medley Relay                                                                                 |thomas                                                                                              |petria                                                                                              |AUS                                                                                                 |Women                                                                                               |Gold                                                                                                |
|4X100M Medley Relay                                                                                 |beard                                                                                               |amanda                                                                                              |USA                                                                                                 |Women                                                                                               |Silver                                                                                              |
|4X100M Medley Relay                                                                                 |cope                                                                                                |haley                                                                                               |USA                                                                                                 |Women                                                                                               |Silver                                                                                              |
|4X100M Medley Relay                                                                                 |coughlin                                                                                            |natalie                                                                                             |USA                                                                                                 |Women                                                                                               |Silver                                                                                              |
|4X100M Medley Relay                                                                                 |joyce                                                                                               |kara lynn                                                                                           |USA                                                                                                 |Women                                                                                               |Silver                                                                                              |
|4X100M Medley Relay                                                                                 |kirk                                                                                                |tara                                                                                                |USA                                                                                                 |Women                                                                                               |Silver                                                                                              |
|4X100M Medley Relay                                                                                 |komisarz                                                                                            |rachel                                                                                              |USA                                                                                                 |Women                                                                                               |Silver                                                                                              |
|4X100M Medley Relay                                                                                 |thompson                                                                                            |jenny                                                                                               |USA                                                                                                 |Women                                                                                               |Silver                                                                                              |
|4X100M Medley Relay                                                                                 |weir                                                                                                |amanda                                                                                              |USA                                                                                                 |Women                                                                                               |Silver                                                                                              |
|4X200M Freestyle Relay                                                                              |brembilla                                                                                           |emiliano                                                                                            |ITA                                                                                                 |Men                                                                                                 |Bronze                                                                                              |
|4X200M Freestyle Relay                                                                              |cappellazzo                                                                                         |federico                                                                                            |ITA                                                                                                 |Men                                                                                                 |Bronze                                                                                              |
|4X200M Freestyle Relay                                                                              |cercato                                                                                             |simone                                                                                              |ITA                                                                                                 |Men                                                                                                 |Bronze                                                                                              |
